batting_team,total_runs
 Chennai Super Kings        ,9061
 Deccan Chargers            ,2539
 Delhi Capitals             ,3141
 Delhi Daredevils           ,5043
 Gujarat Lions              ,921
 Gujarat Titans             ,1823
 Kings XI Punjab            ,6227
 Kochi Tuskers Kerala       ,337
 Kolkata Knight Riders      ,8053
 Lucknow Super Giants       ,1718
 Mumbai Indians             ,9598
 Pune Warriors              ,1360
 Punjab Kings               ,2047
 Rajasthan Royals           ,7281
 Rising Pune Supergiant     ,555
 Rising Pune Supergiants    ,443
 Royal Challengers Bangalore,8417
 Royal Challengers Bengaluru,611
 Sunrisers Hyderabad        ,6237
