batter,runs,balls,strike_rate
 A Ashish Reddy         ,280,196,142.85714285714286
 A Badoni               ,634,505,125.54455445544555
 A Chandila             ,4,7,57.14285714285714
 A Chopra               ,53,75,70.66666666666667
 A Choudhary            ,25,20,125.0
 A Dananjaya            ,4,5,80.0
 A Flintoff             ,62,57,108.77192982456141
 A Kamboj               ,2,2,100.0
 A Kumble               ,35,49,71.42857142857143
 A Manohar              ,231,181,127.62430939226519
 A Mishra               ,381,440,86.5909090909091
 A Mithun               ,34,26,130.76923076923077
 A Mukund               ,19,23,82.6086956521739
 A Nehra                ,41,63,65.07936507936508
 A Nortje               ,49,51,96.07843137254902
 A Raghuvanshi          ,163,109,149.54128440366972
 A Singh                ,2,10,20.0
 A Symonds              ,974,781,124.71190781049937
 A Tomar                ,4,8,50.0
 A Uniyal               ,4,7,57.14285714285714
 A Zampa                ,15,25,60.0
 AA Bilakhia            ,69,88,78.4090909090909
 AA Chavan              ,12,11,109.09090909090908
 AA Jhunjhunwala        ,217,218,99.54128440366972
 AA Kulkarni            ,9,8,112.5
 AA Noffke              ,9,12,75.0
 AB Agarkar             ,179,160,111.87499999999999
 AB Barath              ,42,43,97.67441860465115
 AB Dinda               ,26,50,52.0
 AB McDonald            ,123,103,119.41747572815532
 AB de Villiers         ,5181,3487,148.58044164037855
 AC Blizzard            ,120,91,131.86813186813185
 AC Gilchrist           ,2069,1555,133.05466237942122
 AC Thomas              ,20,19,105.26315789473684
 AC Voges               ,181,143,126.57342657342659
 AD Hales               ,148,119,124.36974789915966
 AD Mascarenhas         ,79,79,100.0
 AD Mathews             ,724,599,120.86811352253757
 AD Nath                ,90,99,90.9090909090909
 AD Russell             ,2488,1515,164.22442244224422
 AF Milne               ,23,31,74.19354838709677
 AG Murtaza             ,10,14,71.42857142857143
 AG Paunikar            ,49,61,80.32786885245902
 AJ Finch               ,2092,1696,123.34905660377358
 AJ Hosein              ,16,11,145.45454545454547
 AJ Turner              ,24,31,77.41935483870968
 AJ Tye                 ,91,79,115.18987341772151
 AK Markram             ,995,787,126.4294790343075
 AL Menaria             ,401,367,109.26430517711172
 AM Nayar               ,672,588,114.28571428571428
 AM Rahane              ,4642,3858,120.32141005702437
 AN Ahmed               ,36,27,133.33333333333331
 AN Ghosh               ,7,8,87.5
 AP Dole                ,34,23,147.82608695652172
 AP Majumdar            ,87,77,112.98701298701299
 AP Tare                ,339,285,118.94736842105263
 AR Bawne               ,12,12,100.0
 AR Patel               ,1653,1318,125.41729893778452
 AS Joseph              ,27,32,84.375
 AS Rajpoot             ,26,41,63.41463414634146
 AS Raut                ,194,172,112.79069767441861
 AS Roy                 ,26,24,108.33333333333333
 AS Yadav               ,49,40,122.50000000000001
 AT Carey               ,32,29,110.34482758620689
 AT Rayudu              ,4348,3490,124.58452722063038
 AU Rashid              ,22,17,129.41176470588235
 AUK Pathan             ,39,26,150.0
 Abdul Basith           ,1,1,100.0
 Abdul Samad            ,579,408,141.91176470588235
 Abdur Razzak           ,0,2,0.0
 Abhishek Sharma        ,1377,925,148.86486486486484
 Abishek Porel          ,360,244,147.54098360655738
 Akash Deep             ,19,12,158.33333333333331
 Akash Madhwal          ,4,5,80.0
 Aman Hakim Khan        ,115,109,105.50458715596329
 Anirudh Singh          ,63,69,91.30434782608695
 Ankit Sharma           ,87,69,126.08695652173914
 Ankit Soni             ,7,9,77.77777777777779
 Anmolpreet Singh       ,139,117,118.80341880341881
 Anuj Rawat             ,318,276,115.21739130434783
 Anureet Singh          ,36,47,76.59574468085107
 Arjun Tendulkar        ,13,9,144.44444444444443
 Arshad Khan            ,96,67,143.28358208955223
 Arshad Khan (2)        ,5,4,125.0
 Arshdeep Singh         ,29,42,69.04761904761905
 Ashutosh Sharma        ,189,118,160.16949152542372
 Atharva Taide          ,247,177,139.54802259887003
 Avesh Khan             ,41,25,164.0
 Azhar Mahmood          ,388,311,124.7588424437299
 Azmatullah Omarzai     ,42,34,123.52941176470588
 B Akhil                ,76,57,133.33333333333331
 B Chipli               ,280,256,109.375
 B Indrajith            ,21,31,67.74193548387096
 B Kumar                ,306,338,90.53254437869822
 B Laughlin             ,5,13,38.46153846153847
 B Lee                  ,124,102,121.56862745098039
 B Sai Sudharsan        ,1034,770,134.28571428571428
 B Stanlake             ,5,2,250.0
 B Sumanth              ,35,38,92.10526315789474
 BA Bhatt               ,6,7,85.71428571428571
 BA Stokes              ,935,718,130.22284122562675
 BAW Mendis             ,3,6,50.0
 BB McCullum            ,2882,2272,126.84859154929578
 BB Samantray           ,125,116,107.75862068965519
 BB Sran                ,10,14,71.42857142857143
 BCJ Cutting            ,238,146,163.013698630137
 BE Hendricks           ,1,3,33.33333333333333
 BJ Haddin              ,18,11,163.63636363636365
 BJ Hodge               ,1400,1153,121.42237640936686
 BJ Rohrer              ,193,146,132.1917808219178
 BMAJ Mendis            ,23,27,85.18518518518519
 BR Dunk                ,40,36,111.11111111111111
 BR Sharath             ,2,5,40.0
 Basil Thampi           ,32,37,86.48648648648648
 Bipul Sharma           ,187,124,150.80645161290323
 C Green                ,707,472,149.78813559322032
 C Madan                ,15,21,71.42857142857143
 C Munro                ,177,144,122.91666666666667
 C Nanda                ,0,1,0.0
 C Sakariya             ,20,31,64.51612903225806
 C de Grandhomme        ,303,229,132.31441048034935
 CA Ingram              ,205,183,112.02185792349727
 CA Lynn                ,1329,974,136.4476386036961
 CA Pujara              ,390,403,96.7741935483871
 CH Gayle               ,4997,3516,142.1217292377702
 CH Morris              ,618,413,149.636803874092
 CJ Anderson            ,538,436,123.39449541284404
 CJ Ferguson            ,98,119,82.35294117647058
 CJ Jordan              ,81,81,100.0
 CJ McKay               ,8,15,53.333333333333336
